Province_Number,Political_Subdivision_Segment,Projected_Longitude,Projected_Latitude,Unprojected_Latitude_Radians,Unprojected_Longitude/Radians
45,1,3331.08,3717.94,0.24919,0.70586
45,1,3333.27,3716.31,0.24914,0.70593
45,1,3335.76,3715.12,0.2491,0.70601
45,1,3338.39,3713.94,0.24906,0.7061
45,1,3340.44,3712.46,0.24901,0.70617
45,1,3342.64,3710.83,0.24896,0.70624
45,1,3344.83,3709.35,0.24891,0.70631
45,1,3347.47,3708.16,0.24887,0.7064
45,1,3349.95,3706.98,0.24883,0.70648
45,1,3352.59,3705.64,0.24879,0.70657
45,1,3355.07,3704.46,0.24875,0.70665
45,1,3358,3703.72,0.24872,0.70675
45,1,3359.46,3702.83,0.24869,0.7068
45,1,3361.22,3702.39,0.24868,0.70686
45,1,3361.22,3702.39,0.24868,0.70686
45,1,3361.22,3702.39,0.24868,0.70686
45,1,3361.22,3702.39,0.24868,0.70686
45,1,3362.39,3702.09,0.24867,0.70689
45,1,3365.02,3700.76,0.24863,0.70698
45,1,3367.51,3699.57,0.24859,0.70706
45,1,3370.14,3698.39,0.24855,0.70715
45,1,3372.63,3697.2,0.24851,0.70723
45,1,3374.83,3695.72,0.24846,0.70731
45,1,3377.02,3694.09,0.24841,0.70738
45,1,3379.66,3692.91,0.24837,0.70747
45,1,3381.71,3691.43,0.24832,0.70753
45,1,3384.34,3690.24,0.24828,0.70762
45,1,3386.83,3689.06,0.24824,0.7077
45,1,3389.02,3687.43,0.24819,0.70778
45,1,3391.95,3686.54,0.24816,0.70787
45,1,3394.58,3685.35,0.24812,0.70796
45,1,3397.51,3684.46,0.24809,0.70806
45,1,3400.14,3683.28,0.24805,0.70815
45,1,3402.63,3682.1,0.24802,0.70823
45,1,3405.27,3680.91,0.24798,0.70831
45,1,3407.32,3679.43,0.24793,0.70838
45,1,3409.95,3678.25,0.24789,0.70847
45,1,3412.88,3677.36,0.24786,0.70857
45,1,3415.8,3676.47,0.24783,0.70866
45,1,3418.44,3675.28,0.24779,0.70875
45,1,3421.36,3674.4,0.24776,0.70885
45,1,3424.73,3673.95,0.24775,0.70896
45,1,3427.65,3673.06,0.24772,0.70906
45,1,3430.58,3672.18,0.24769,0.70915
45,1,3433.51,3671.44,0.24767,0.70925
45,1,3436.87,3670.85,0.24765,0.70936
45,1,3440.23,3670.4,0.24763,0.70947
45,1,3447.25,3669.81,0.24761,0.70971
45,1,3449.24,3669.37,0.2476,0.70977
45,1,3449.89,3669.22,0.24759,0.70979
45,1,3453.1,3668.78,0.24758,0.7099
45,1,3456.47,3668.33,0.24756,0.71001
45,1,3459.83,3667.74,0.24754,0.71012
45,1,3463.2,3667.3,0.24753,0.71023
45,1,3466.41,3666.71,0.24751,0.71034
45,1,3469.49,3665.97,0.24749,0.71044
45,1,3472.71,3665.38,0.24747,0.71055
45,1,3476.07,3664.93,0.24745,0.71066
45,1,3479.43,3664.49,0.24744,0.71077
45,1,3482.8,3663.9,0.24742,0.71088
45,1,3486.02,3663.46,0.2474,0.71099
45,1,3489.09,3662.57,0.24738,0.71109
45,1,3492.31,3662.13,0.24736,0.7112
45,1,3495.38,3661.24,0.24733,0.7113
45,1,3498.31,3660.35,0.2473,0.7114
45,1,3501.23,3659.61,0.24728,0.7115
45,1,3504.16,3658.72,0.24725,0.71159
45,1,3507.09,3657.84,0.24722,0.71169
45,1,3509.72,3656.65,0.24718,0.71178
45,1,3512.21,3655.47,0.24714,0.71186
45,1,3514.85,3654.28,0.2471,0.71195
45,1,3517.78,3653.39,0.24707,0.71204
45,1,3520.27,3652.21,0.24704,0.71213
45,1,3522.46,3650.73,0.24699,0.7122
45,1,3524.66,3649.1,0.24693,0.71227
45,1,3526.86,3647.47,0.24688,0.71234
45,1,3528.62,3645.69,0.24682,0.7124
45,1,3530.38,3643.77,0.24676,0.71246
45,1,3532.14,3641.84,0.2467,0.71252
45,1,3533.61,3639.62,0.24662,0.71257
45,1,3535.37,3637.69,0.24656,0.71262
45,1,3536.84,3635.47,0.24649,0.71267
45,1,3538.17,3633.1,0.24641,0.71272
45,1,3539.64,3630.88,0.24634,0.71277
45,1,3541.4,3629.1,0.24628,0.71282
45,1,3543.16,3627.17,0.24622,0.71288
45,1,3545.36,3625.54,0.24616,0.71295
45,1,3546.43,3624.37,0.24612,0.71299
45,1,3547.12,3623.62,0.2461,0.71301
45,1,3548.88,3621.69,0.24604,0.71307
45,1,3551.08,3620.21,0.24599,0.71314
45,1,3553.28,3618.73,0.24594,0.71322
45,1,3555.04,3616.8,0.24588,0.71327
45,1,3557.24,3615.18,0.24582,0.71335
45,1,3559.44,3613.69,0.24578,0.71342
45,1,3561.64,3612.07,0.24572,0.71349
45,1,3563.69,3610.58,0.24567,0.71356
45,1,3565.6,3608.66,0.24561,0.71362
45,1,3567.65,3607.03,0.24556,0.71369
45,1,3569.56,3605.1,0.24549,0.71375
45,1,3571.61,3603.62,0.24545,0.71382
45,1,3573.52,3601.7,0.24538,0.71389
45,1,3575.57,3600.22,0.24533,0.71395
45,1,3577.04,3597.84,0.24526,0.714
45,1,3578.81,3596.07,0.2452,0.71406
45,1,3580.27,3594.88,0.24516,0.71411
45,1,3582.04,3592.96,0.2451,0.71417
45,1,3583.8,3591.03,0.24503,0.71422
45,1,3585.56,3589.11,0.24497,0.71428
45,1,3587.47,3587.18,0.24491,0.71435
45,1,3588.79,3584.96,0.24483,0.71439
45,1,3590.56,3583.03,0.24477,0.71445
45,1,3592.46,3581.25,0.24471,0.71451
45,1,3593.79,3578.88,0.24464,0.71455
45,1,3595.55,3577.1,0.24458,0.71461
45,1,3597.02,3574.73,0.2445,0.71466
45,1,3598.35,3572.51,0.24443,0.7147
45,1,3600.11,3570.59,0.24436,0.71476
45,1,3600.66,3570.03,0.24435,0.71478
45,1,3600.67,3570.02,0.24435,0.71478
45,1,3600.68,3570.01,0.24435,0.71478
45,1,3600.7,3569.99,0.24435,0.71478
45,1,3602.02,3568.66,0.2443,0.71483
45,1,3603.34,3566.44,0.24423,0.71487
45,1,3605.11,3564.51,0.24417,0.71493
45,1,3607.31,3563.03,0.24412,0.715
45,1,3609.07,3561.1,0.24405,0.71506
45,1,3610.98,3559.18,0.24399,0.71512
45,1,3612.74,3557.25,0.24393,0.71518
45,1,3614.51,3555.33,0.24387,0.71524
45,1,3616.27,3553.55,0.24381,0.7153
45,1,3618.47,3551.92,0.24375,0.71537
45,1,3620.23,3549.99,0.24369,0.71543
45,1,3621.99,3548.22,0.24363,0.71549
45,1,3623.76,3546.14,0.24356,0.71554
45,1,3624.93,3545.05,0.24353,0.71558
45,1,3624.93,3545.05,0.24353,0.71558
45,1,3624.93,3545.05,0.24353,0.71558
45,1,3625.67,3544.36,0.24351,0.71561
45,1,3627.43,3542.44,0.24344,0.71566
45,1,3629.19,3540.51,0.24338,0.71572
45,1,3630.52,3538.29,0.24331,0.71577
45,1,3632.43,3536.36,0.24324,0.71583
45,1,3634.19,3534.44,0.24318,0.71589
45,1,3635.52,3532.22,0.24311,0.71593
45,1,3637.28,3530.29,0.24305,0.71599
45,1,3639.19,3528.07,0.24297,0.71605
45,1,3640.96,3526.14,0.24291,0.71611
45,1,3642.72,3524.22,0.24285,0.71617
45,1,3644.49,3522.29,0.24278,0.71623
45,1,3646.25,3520.36,0.24272,0.71629
45,1,3648.01,3518.44,0.24266,0.71634
45,1,3649.92,3516.66,0.2426,0.71641
45,1,3651.25,3514.29,0.24252,0.71645
45,1,3652.72,3512.07,0.24245,0.7165
45,1,3654.49,3510.14,0.24239,0.71656
45,1,3656.25,3508.36,0.24233,0.71661
45,1,3657.58,3505.99,0.24225,0.71666
45,1,3659.49,3504.07,0.24219,0.71672
