household_id,household_id2,rural,pw_w3,saq01,saq03,saq06,saq08,hh_s6aq0a,hh_s6aq01,hh_s6aq02
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,Transport,1,25
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,1,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Matches,1,2
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Batteries,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Laundry soap,1,10
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Other personal care goods,1,7
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Kerosene,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,Transport,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,11,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Matches,1,4
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Batteries,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Laundry soap,1,50
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Other personal care goods,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Charcoal,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Firewood,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Kerosene,1,14
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,"Cigarettes, tobacco, suret, ga",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,Transport,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,16,House rent,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Matches,1,4
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Batteries,1,16
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,"Candles, incense",2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Laundry soap,1,18
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Hand soap,2,
1.0102E+12,1.01021E+16,1,2492.767578,1,2,14,26,Other personal care goods,2,
