,household_id,household_id2,rural,saq01,saq02,saq03,saq06,saq08,hh_saq09,hh_saq11,hh_saq12
84,1020100207012,10201088800207012,1,1,2,1,2,12,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
85,1020100207017,10201088800207017,1,1,2,1,2,17,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
86,1020100207027,10201088800207027,1,1,2,1,2,27,10.0,**CONFIDENTIAL**,**CONFIDENTIAL**
87,1020100207047,10201088800207047,1,1,2,1,2,47,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
88,1020100207062,10201088800207062,1,1,2,1,2,62,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
89,1020100207077,10201088800207077,1,1,2,1,2,77,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
90,1020100207092,10201088800207092,1,1,2,1,2,92,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
91,1020100207107,10201088800207107,1,1,2,1,2,107,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
92,1020100207122,10201088800207122,1,1,2,1,2,122,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
93,1020100207137,10201088800207137,1,1,2,1,2,137,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
94,1020200107008,10202020100107008,3,1,2,2,1,8,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
95,1020200107034,10202020100107034,3,1,2,2,1,34,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
96,1020200107047,10202020100107047,3,1,2,2,1,47,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
97,1020200107073,10202020100107073,3,1,2,2,1,73,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
98,1020200107086,10202020100107086,3,1,2,2,1,86,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
99,1020200107099,10202020100107099,3,1,2,2,1,99,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
100,1020200107112,10202020100107112,3,1,2,2,1,112,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
101,1020200107125,10202020100107125,3,1,2,2,1,125,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
102,1020200107151,10202020100107151,3,1,2,2,1,151,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
103,1020200107164,10202020100107164,3,1,2,2,1,164,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
104,1020200107177,10202020100107177,3,1,2,2,1,177,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
105,1020200107190,10202020100107190,3,1,2,2,1,190,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
106,1020200802002,10202088800802002,1,1,2,2,8,2,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
107,1020200802017,10202088800802017,1,1,2,2,8,17,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
108,1020200802028,10202088800802028,1,1,2,2,8,28,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
109,1020200802033,10202088800802033,1,1,2,2,8,33,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
110,1020200802048,10202088800802048,1,1,2,2,8,48,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
111,1020200802063,10202088800802063,1,1,2,2,8,63,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
112,1020200802078,10202088800802078,1,1,2,2,8,78,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
113,1020200802108,10202088800802108,1,1,2,2,8,108,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
114,1020200802120,10202088800802120,1,1,2,2,8,120,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
115,1020200802124,10202088800802124,1,1,2,2,8,124,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
116,1020200802139,10202088800802139,1,1,2,2,8,139,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
117,1020301001002,10203088801001002,1,1,2,3,10,2,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
118,1020301001017,10203088801001017,1,1,2,3,10,17,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
119,1020301001032,10203088801001032,1,1,2,3,10,32,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
120,1020301001047,10203088801001047,1,1,2,3,10,47,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
121,1020301001062,10203088801001062,1,1,2,3,10,62,10.0,**CONFIDENTIAL**,**CONFIDENTIAL**
122,1020301001080,10203088801001080,1,1,2,3,10,80,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
123,1020301001095,10203088801001095,1,1,2,3,10,95,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
124,1020301001097,10203088801001097,1,1,2,3,10,97,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
125,1020301001111,10203088801001111,1,1,2,3,10,111,10.0,**CONFIDENTIAL**,**CONFIDENTIAL**
126,1020301001128,10203088801001128,1,1,2,3,10,128,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
127,1020301001145,10203088801001145,1,1,2,3,10,145,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
128,1020301001152,10203088801001152,1,1,2,3,10,152,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
129,1020401702002,10204088801702002,1,1,2,4,17,2,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
130,1020401702005,10204088801702005,1,1,2,4,17,5,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
131,1020401702018,10204088801702018,1,1,2,4,17,18,10.0,**CONFIDENTIAL**,**CONFIDENTIAL**
132,1020401702033,10204088801702033,1,1,2,4,17,33,8.0,**CONFIDENTIAL**,**CONFIDENTIAL**
133,1020401702048,10204088801702048,1,1,2,4,17,48,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
134,1020401702063,10204088801702063,1,1,2,4,17,63,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
135,1020401702078,10204088801702078,1,1,2,4,17,78,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
136,1020401702093,10204088801702093,1,1,2,4,17,93,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
137,1020401702108,10204088801702108,1,1,2,4,17,108,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
138,1020401702123,10204088801702123,1,1,2,4,17,123,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
139,1020401702138,10204088801702138,1,1,2,4,17,138,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
140,1020401702149,10204088801702149,1,1,2,4,17,149,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
141,1020601301002,10206088801301002,1,1,2,6,13,2,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
142,1020601301018,10206088801301018,1,1,2,6,13,18,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
143,1020601301033,10206088801301033,1,1,2,6,13,33,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
144,1020601301050,10206088801301050,1,1,2,6,13,50,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
145,1020601301066,10206088801301066,1,1,2,6,13,66,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
146,1020601301081,10206088801301081,1,1,2,6,13,81,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
147,1020601301097,10206088801301097,1,1,2,6,13,97,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
148,1020601301134,10206088801301134,1,1,2,6,13,134,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
149,1020601301136,10206088801301136,1,1,2,6,13,136,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
150,1020601301162,10206088801301162,1,1,2,6,13,162,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
151,1020601301180,10206088801301180,1,1,2,6,13,180,2.0,**CONFIDENTIAL**,**CONFIDENTIAL**
152,1020700101027,10207010100101027,2,1,2,7,1,27,7.0,**CONFIDENTIAL**,**CONFIDENTIAL**
153,1020700101057,10207010100101057,2,1,2,7,1,57,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
154,1020700101087,10207010100101087,2,1,2,7,1,87,6.0,**CONFIDENTIAL**,**CONFIDENTIAL**
155,1020700101117,10207010100101117,2,1,2,7,1,117,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
156,1020700101177,10207010100101177,2,1,2,7,1,177,4.0,**CONFIDENTIAL**,**CONFIDENTIAL**
157,1020700101237,10207010100101237,2,1,2,7,1,237,1.0,**CONFIDENTIAL**,**CONFIDENTIAL**
158,1020700101267,10207010100101267,2,1,2,7,1,267,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
159,1020700101297,10207010100101297,2,1,2,7,1,297,3.0,**CONFIDENTIAL**,**CONFIDENTIAL**
160,1020700101327,10207010100101327,2,1,2,7,1,327,5.0,**CONFIDENTIAL**,**CONFIDENTIAL**
